Date,Open,High,Low,Close,Adj Close,Volume
2022-12-05,147.770004,150.919998,140.000000,142.160004,141.556061,341500000
2022-12-12,142.699997,149.970001,133.729996,134.509995,133.938568,505728900
2022-12-19,135.110001,136.809998,129.639999,131.860001,131.299820,384620400
2022-12-26,131.380005,131.410004,125.870003,129.929993,129.378006,307184100
2023-01-02,130.279999,130.899994,124.169998,129.619995,129.069321,369948500
2023-01-09,130.470001,134.919998,128.119995,134.759995,134.187500,333335200
2023-01-16,134.830002,138.610001,133.770004,137.869995,137.284286,271823400
2023-01-23,138.119995,147.229996,137.899994,145.929993,145.310043,338655600
2023-01-30,144.960007,157.380005,141.320007,154.500000,153.843628,480249700
2023-02-06,152.570007,155.229996,149.220001,151.009995,150.368454,330758800
2023-02-13,150.949997,156.330002,150.850006,152.550003,152.133850,316792400
2023-02-20,150.199997,151.300003,145.720001,146.710007,146.309784,213742300
2023-02-27,147.710007,151.110001,143.899994,151.029999,150.617996,273994900
2023-03-06,153.789993,156.300003,147.610001,148.500000,148.094894,313350800
2023-03-13,147.809998,156.740005,147.699997,155.000000,154.577164,410426600
2023-03-20,155.070007,162.139999,154.149994,160.250000,159.812851,350100100
2023-03-27,159.940002,165.000000,155.979996,164.899994,164.450150,267939700
2023-04-03,164.270004,166.839996,161.800003,164.660004,164.210815,200156300
2023-04-10,161.419998,166.320007,159.779999,165.210007,164.759323,263326300
2023-04-17,165.089996,168.160004,164.029999,165.020004,164.569839,249953100
2023-04-24,165.000000,169.850006,162.800003,169.679993,169.217117,256274000
2023-05-01,169.279999,174.300003,164.309998,173.570007,173.096512,360586400
2023-05-08,172.479996,174.589996,171.000000,172.570007,172.099243,250026700
2023-05-15,173.160004,176.389999,170.419998,175.160004,174.923798,258597700
2023-05-22,173.979996,175.770004,170.520004,175.429993,175.193420,250355000
2023-05-29,176.960007,181.779999,176.570007,180.949997,180.705978,286437400
2023-06-05,182.630005,184.949997,177.320007,180.960007,180.715973,347825100
2023-06-12,181.270004,186.990005,180.970001,184.919998,184.670624,333335700
2023-06-19,184.410004,187.559998,182.589996,186.679993,186.428238,203639400
2023-06-26,186.830002,194.479996,185.229996,193.970001,193.708420,281453200
2023-07-03,193.779999,193.880005,189.199997,190.679993,190.422852,170250800
2023-07-10,189.259995,191.699997,186.600006,190.690002,190.432846,250226700
2023-07-17,191.899994,198.229996,191.229996,191.940002,191.681168,310880300
2023-07-24,193.410004,197.199997,192.250000,195.830002,195.565918,225884500
2023-07-31,196.059998,196.729996,181.919998,181.990005,181.744583,301423400
2023-08-07,182.130005,183.130005,176.550003,177.789993,177.550232,332452600
2023-08-14,177.970001,179.690002,171.960007,174.490005,174.490005,261440200
2023-08-21,175.070007,181.550003,173.740005,178.610001,178.610001,247514300
2023-08-28,180.089996,189.919998,178.550003,189.460007,189.460007,264165600
2023-09-04,188.279999,189.979996,173.539993,178.179993,178.179993,305075900
2023-09-11,180.070007,180.300003,177.339996,179.360001,179.360001,58863800
